Region,Region_pcode,Province,Province_pcode,City,Mun_Pcode,July2020,July2021,July2022,July2023,July2024,July2025
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,city of santa rosa,PH043428000,415509,426536,437051,447052,456568,465544
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,siniloan,PH043429000,40152,40504,40832,41136,41417,41673
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,victoria,PH043430000,43187,43854,44482,45069,45619,46128
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,agdangan,PH045601000,14177,14421,14656,14883,15103,15313
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,alabat,PH045602000,15890,15921,15945,15963,15973,15976
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,atimonan,PH045603000,65187,65445,65671,65865,66028,66158
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,buenavista,PH045605000,30998,31143,31272,31385,31484,31566
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,burdeos,PH045606000,29431,29919,30391,30845,31283,31702
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,calauag,PH045607000,76980,77626,78229,78790,79308,79782
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,candelaria,PH045608000,124204,125360,126444,127459,128404,129276
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,catanauan,PH045610000,76332,77260,78144,78982,79778,80526
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,dolores,PH045615000,30040,30224,30393,30545,30682,30803
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,general luna,PH045616000,27579,27754,27914,28060,28191,28307
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,general nakar,PH045617000,33673,34423,35156,35871,36570,37250
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,guinayangan,PH045618000,48666,49290,49885,50451,50990,51499
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,gumaca,PH045619000,78074,78789,79459,80085,80668,81206
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,infanta,PH045620000,73297,74023,74707,75348,75949,76506
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,jomalig,PH045621000,7951,8045,8134,8218,8298,8374
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,lopez,PH045622000,99132,99773,100361,100897,101380,101810
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,lucban,PH045623000,56371,57262,58119,58944,59737,60494
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,lucena city (capital),PH045624000,286191,289717,293074,296263,299290,302140
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,macalelon,PH045625000,29941,30244,30529,30797,31048,31282
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,mauban,PH045627000,66410,66827,67208,67555,67867,68143
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,mulanay,PH045628000,55349,55709,56040,56341,56613,56855
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,padre burgos,PH045629000,24841,25280,25704,26114,26511,26892
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,pagbilao,PH045630000,84563,86357,88106,89808,91469,93080
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,panukulan,PH045631000,14588,14772,14949,15116,15275,15426
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,patnanungan,PH045632000,15330,15451,15564,15667,15763,15850
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,perez,PH045633000,12433,12472,12507,12538,12565,12587
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,pitogo,PH045634000,24659,24947,25221,25480,25725,25955
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,plaridel,PH045635000,11627,11746,11859,11965,12065,12158
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,polillo,PH045636000,33066,33509,33933,34337,34723,35088
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,quezon,PH045637000,15501,15540,15573,15601,15624,15641
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,real,PH045638000,36722,36820,36902,36967,37015,37046
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,sampaloc,PH045639000,14695,14829,14955,15073,15182,15283
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,san andres,PH045640000,37951,38324,38676,39006,39314,39600
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,san antonio,PH045641000,35218,35513,35788,36043,36279,36495
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,san francisco (aurora),PH045642000,64913,65498,66045,66556,67032,67469
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,san narciso,PH045644000,51511,52038,52536,53003,53442,53850
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,sariaya,PH045645000,159033,160786,162447,164015,165494,166876
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,tagkawayan,PH045646000,52767,52899,53014,53110,53188,53248
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,city of tayabas,PH045647000,108252,109773,111230,112623,113955,115219
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,tiaong,PH045648000,107922,109391,110795,112136,113416,114628
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,unisan,PH045649000,28568,28859,29133,29391,29633,29857
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,angono,PH045801000,119526,120430,121210,121866,122398,122805
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,city of antipolo,PH045802000,847642,857793,866490,873730,879528,883851
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,baras,PH045803000,116895,129303,142622,156852,172036,188090
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,binangonan,PH045804000,305860,309470,312695,315536,317997,320067
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,cainta,PH045805000,326253,326875,327425,327905,328313,328649
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,cardona,PH045806000,49708,49814,49909,49995,50070,50135
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,jala-jala,PH045807000,33001,33133,33257,33374,33484,33585
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,rodriguez (montalban),PH045808000,440382,450506,459167,466365,472113,476379
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,morong,PH045809000,63117,63891,64586,65200,65735,66188
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,pililla,PH045810000,67427,67781,68074,68307,68479,68590
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,san mateo,PH045811000,298458,307845,317251,326677,336149,345614
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,tanay,PH045812000,136426,140463,144589,148802,153115,157504
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,taytay,PH045813000,336288,338660,340653,342266,343501,344353
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,teresa,PH045814000,67976,70059,72143,74230,76324,78415
Region V (Bicol Region),PH050000000,Albay,PH050500000,bacacay,PH050501000,72018,72513,72962,73366,73724,74035
Region V (Bicol Region),PH050000000,Albay,PH050500000,camalig,PH050502000,70162,70692,71179,71621,72020,72375
Region V (Bicol Region),PH050000000,Albay,PH050500000,daraga (locsin),PH050503000,137597,139641,141623,143542,145402,147195
Region V (Bicol Region),PH050000000,Albay,PH050500000,guinobatan,PH050504000,88827,90006,91140,92230,93277,94277
Region V (Bicol Region),PH050000000,Albay,PH050500000,jovellar,PH050505000,17698,17767,17833,17896,17955,18011
Region V (Bicol Region),PH050000000,Albay,PH050500000,legazpi city (capital),PH050506000,211174,213792,216301,218697,220988,223161
Region V (Bicol Region),PH050000000,Albay,PH050500000,libon,PH050507000,78746,79323,79851,80330,80759,81138
Region V (Bicol Region),PH050000000,Albay,PH050500000,city of ligao,PH050508000,117823,118918,119942,120897,121783,122596
Region V (Bicol Region),PH050000000,Albay,PH050500000,malilipot,PH050509000,39983,40359,40710,41038,41343,41624
Region V (Bicol Region),PH050000000,Albay,PH050500000,malinao,PH050510000,47802,48223,48616,48980,49315,49621
Region V (Bicol Region),PH050000000,Albay,PH050500000,manito,PH050511000,26614,26960,27293,27613,27919,28211
Region V (Bicol Region),PH050000000,Albay,PH050500000,oas,PH050512000,71067,71563,72014,72420,72781,73097
Region V (Bicol Region),PH050000000,Albay,PH050500000,pio duran,PH050513000,48303,48534,48734,48901,49037,49140
Region V (Bicol Region),PH050000000,Albay,PH050500000,polangui,PH050514000,94135,95178,96169,97108,97996,98829
Region V (Bicol Region),PH050000000,Albay,PH050500000,rapu-rapu,PH050515000,37923,38099,38266,38425,38574,38714
Region V (Bicol Region),PH050000000,Albay,PH050500000,santo domingo (libog),PH050516000,37536,37998,38441,38863,39267,39650
Region V (Bicol Region),PH050000000,Albay,PH050500000,city of tabaco,PH050517000,142639,144179,145639,147019,148320,149538
Region V (Bicol Region),PH050000000,Albay,PH050500000,tiwi,PH050518000,56041,56533,56991,57415,57806,58162
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,basud,PH051601000,43486,43907,44300,44667,45007,45318
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,capalonga,PH051602000,33699,33933,34144,34333,34499,34643
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,daet (capital),PH051603000,113249,114787,116263,117680,119038,120333
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,san lorenzo ruiz (imelda),PH051604000,15460,15724,15982,16233,16478,16716
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,jose panganiban,PH051605000,63177,63778,64339,64860,65342,65784
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,labo,PH051606000,109389,110907,112365,113768,115115,116402
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,mercedes,PH051607000,53526,53968,54375,54747,55084,55387
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,paracale,PH051608000,64703,65743,66753,67734,68687,69608
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,san vicente,PH051609000,10757,10808,10852,10888,10916,10937
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,santa elena,PH051610000,41882,42016,42120,42195,42239,42253
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,talisay,PH051611000,27555,27853,28136,28402,28651,28884
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,vinzons,PH051612000,45631,45977,46293,46578,46834,47059
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,baao,PH051701000,61918,62448,62946,63411,63846,64247
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,balatan,PH051702000,32695,33008,33304,33584,33849,34096
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,bato,PH051703000,55199,55742,56257,56745,57207,57640
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,bombon,PH051704000,17362,17508,17645,17774,17893,18003
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,buhi,PH051705000,79690,80074,80414,80707,80957,81160
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,bula,PH051706000,71549,71858,72126,72354,72543,72690
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,cabusao,PH051707000,18959,19040,19111,19172,19222,19261
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,calabanga,PH051708000,86885,87532,88132,88685,89193,89653
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,camaligan,PH051709000,25598,25865,26119,26361,26591,26808
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,canaman,PH051710000,35624,35854,36064,36255,36427,36578
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,caramoan,PH051711000,49680,50023,50338,50627,50889,51123
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,del gallego,PH051712000,27304,27659,28001,28332,28653,28960
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,gainza,PH051713000,12002,12137,12265,12388,12506,12617
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,garchitorena,PH051714000,28441,28689,28922,29141,29346,29535
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,goa,PH051715000,67160,67848,68504,69126,69717,70274
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,iriga city,PH051716000,116286,117018,117686,118290,118831,119306
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,lagonoy,PH051717000,58354,58853,59321,59759,60168,60546
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,libmanan,PH051718000,115740,117009,118223,119383,120491,121541
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,lupi,PH051719000,33784,34060,34319,34561,34785,34991
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,magarao,PH051720000,26801,26983,27150,27303,27442,27565
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,milaor,PH051721000,33322,33720,34104,34472,34826,35164
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,minalabac,PH051722000,55800,56417,57008,57573,58112,58624
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,nabua,PH051723000,86757,87199,87592,87935,88231,88476
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,naga city,PH051724000,213549,216904,220185,223391,226531,229587
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,ocampo,PH051725000,47805,48108,48385,48635,48860,49057
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,pamplona,PH051726000,37880,38122,38342,38542,38722,38880
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,pasacao,PH051727000,51470,51885,52274,52635,52971,53278
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,pili (capital),PH051728000,95384,96441,97453,98420,99345,100222
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,presentacion (parubcan),PH051729000,21743,21859,21963,22055,22134,22201
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,ragay,PH051730000,60775,61198,61589,61947,62273,62564
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,sagñay,PH051731000,37194,37687,38165,38628,39076,39507
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,san fernando,PH051732000,36801,37056,37291,37506,37701,37876
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,san jose,PH051733000,42251,42513,42752,42967,43160,43329
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,sipocot,PH051734000,66835,67122,67372,67585,67762,67901
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,siruma,PH051735000,18306,18386,18454,18513,18561,18598
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,tigaon,PH051736000,60901,62000,63081,64146,65197,66229
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,tinambac,PH051737000,71691,72427,73128,73794,74426,75022
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,bagamanoc,PH052001000,11833,11873,11908,11937,11961,11979
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,baras,PH052002000,13228,13286,13339,13385,13426,13459
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,bato,PH052003000,22208,22369,22519,22660,22792,22912
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,caramoran,PH052004000,31540,31803,32052,32288,32512,32721
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,gigmoto,PH052005000,8586,8618,8646,8670,8690,8706
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,pandan,PH052006000,21282,21409,21527,21635,21733,21822
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,panganiban (payo),PH052007000,9495,9524,9548,9567,9582,9593
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,san andres (calolbon),PH052008000,37676,37805,37917,38009,38084,38140
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,san miguel,PH052009000,15647,15757,15860,15956,16045,16127
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,viga,PH052010000,22199,22285,22360,22425,22479,22522
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,virac (capital),PH052011000,79247,80314,81356,82372,83368,84335
Region V (Bicol Region),PH050000000,Masbate,PH054100000,aroroy,PH054101000,94001,95520,97012,98477,99919,101330
Region V (Bicol Region),PH050000000,Masbate,PH054100000,baleno,PH054102000,27325,27537,27736,27921,28094,28253
Region V (Bicol Region),PH050000000,Masbate,PH054100000,balud,PH054103000,39764,40041,40298,40535,40753,40952
Region V (Bicol Region),PH050000000,Masbate,PH054100000,batuan,PH054104000,16080,16263,16439,16609,16773,16929
Region V (Bicol Region),PH050000000,Masbate,PH054100000,cataingan,PH054105000,51397,51534,51644,51727,51782,51811
Region V (Bicol Region),PH050000000,Masbate,PH054100000,cawayan,PH054106000,69839,70310,70745,71146,71513,71845
Region V (Bicol Region),PH050000000,Masbate,PH054100000,claveria,PH054107000,45179,45414,45625,45813,45978,46120
Region V (Bicol Region),PH050000000,Masbate,PH054100000,dimasalang,PH054108000,26831,26919,26993,27053,27099,27131
Region V (Bicol Region),PH050000000,Masbate,PH054100000,esperanza,PH054109000,19447,19598,19740,19873,19997,20111
Region V (Bicol Region),PH050000000,Masbate,PH054100000,mandaon,PH054110000,43550,43958,44347,44715,45065,45394
Region V (Bicol Region),PH050000000,Masbate,PH054100000,city of masbate (capital),PH054111000,103227,104724,106186,107614,109010,110369
Region V (Bicol Region),PH050000000,Masbate,PH054100000,milagros,PH054112000,61105,61770,62408,63020,63608,64169
Region V (Bicol Region),PH050000000,Masbate,PH054100000,mobo,PH054113000,41812,42379,42931,43469,43992,44499
Region V (Bicol Region),PH050000000,Masbate,PH054100000,monreal,PH054114000,27485,27620,27742,27849,27943,28022
Region V (Bicol Region),PH050000000,Masbate,PH054100000,palanas,PH054115000,26849,26934,27006,27063,27106,27136
Region V (Bicol Region),PH050000000,Masbate,PH054100000,pio v. corpuz (limbuhan),PH054116000,23730,23793,23844,23882,23908,23921
Region V (Bicol Region),PH050000000,Masbate,PH054100000,placer,PH054117000,57013,57164,57285,57377,57439,57472
Region V (Bicol Region),PH050000000,Masbate,PH054100000,san fernando,PH054118000,24348,24579,24799,25007,25206,25392
Region V (Bicol Region),PH050000000,Masbate,PH054100000,san jacinto,PH054119000,32152,32473,32779,33072,33351,33615
Region V (Bicol Region),PH050000000,Masbate,PH054100000,san pascual,PH054120000,47992,48187,48357,48501,48621,48715
Region V (Bicol Region),PH050000000,Masbate,PH054100000,uson,PH054121000,57953,58228,58473,58688,58874,59029
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,barcelona,PH056202000,21646,21735,21809,21867,21911,21940
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,bulan,PH056203000,106213,107268,108259,109186,110051,110849
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,bulusan,PH056204000,23683,23797,23894,23976,24042,24091
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,casiguran,PH056205000,34688,34998,35287,35554,35800,36024
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,castilla,PH056206000,62819,63742,64635,65497,66331,67132
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,donsol,PH056207000,51858,52191,52490,52754,52985,53181
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,gubat,PH056208000,61747,62071,62354,62594,62794,62951
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,irosin,PH056209000,61619,62537,63426,64286,65119,65919
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,juban,PH056210000,34306,34648,34969,35269,35550,35809
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,magallanes,PH056211000,38632,38879,39101,39297,39468,39612
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,matnog,PH056212000,44607,45253,45878,46481,47064,47623
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,pilar,PH056213000,80969,82152,83296,84400,85468,86493
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,prieto diaz,PH056214000,24437,24807,25167,25515,25852,26176
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,santa magdalena,PH056215000,17307,17364,17410,17443,17464,17474
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,city of sorsogon (capital),PH056216000,181187,183556,185830,188007,190094,192078
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,altavas,PH060401000,25091,25182,25271,25357,25443,25525
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,balete,PH060402000,30174,30368,30541,30694,30826,30937
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,banga,PH060403000,40384,40527,40656,40773,40878,40969
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,batan,PH060404000,33505,33804,34103,34401,34700,34997
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,buruanga,PH060405000,20546,20823,21087,21338,21577,21803
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,ibajay,PH060406000,53149,53896,54648,55405,56170,56938
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,kalibo (capital),PH060407000,85388,86107,86739,87286,87749,88124
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,lezo,PH060408000,15640,15722,15803,15883,15962,16040
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,libacao,PH060409000,28390,28413,28434,28452,28468,28481
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,madalag,PH060410000,18502,18521,18537,18552,18566,18578
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,makato,PH060411000,28780,29076,29367,29653,29935,30212
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,malay,PH060412000,58820,59606,60256,60770,61150,61392
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,malinao,PH060413000,23269,23278,23286,23291,23294,23295
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,nabas,PH060414000,40756,41687,42635,43598,44581,45577
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,new washington,PH060415000,46446,46689,46913,47119,47308,47477
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,numancia,PH060416000,33373,33621,33852,34067,34267,34451
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,tangalan,PH060417000,23371,23628,23872,24103,24322,24527
Region VI (Western Visayas),PH060000000,Antique,PH060600000,anini-y,PH060601000,21809,21897,21971,22033,22083,22121
Region VI (Western Visayas),PH060000000,Antique,PH060600000,barbaza,PH060602000,23372,23469,23552,23622,23679,23723
Region VI (Western Visayas),PH060000000,Antique,PH060600000,belison,PH060603000,14119,14214,14302,14382,14455,14520
Region VI (Western Visayas),PH060000000,Antique,PH060600000,bugasong,PH060604000,34634,34777,34901,35005,35090,35155
Region VI (Western Visayas),PH060000000,Antique,PH060600000,caluya,PH060605000,41075,42234,43401,44576,45763,46956
Region VI (Western Visayas),PH060000000,Antique,PH060600000,culasi,PH060606000,42904,43176,43424,43650,43852,44030
Region VI (Western Visayas),PH060000000,Antique,PH060600000,tobias fornier (dao),PH060607000,35082,35447,35795,36126,36442,36740
Region VI (Western Visayas),PH060000000,Antique,PH060600000,hamtic,PH060608000,50654,50993,51304,51588,51845,52075
Region VI (Western Visayas),PH060000000,Antique,PH060600000,laua-an,PH060609000,26744,26835,26911,26971,27017,27047
Region VI (Western Visayas),PH060000000,Antique,PH060600000,libertad,PH060610000,17001,17090,17168,17238,17298,17348
Region VI (Western Visayas),PH060000000,Antique,PH060600000,pandan,PH060611000,35786,36024,36243,36443,36623,36784
Region VI (Western Visayas),PH060000000,Antique,PH060600000,patnongon,PH060612000,38834,39110,39366,39600,39815,40008
Region VI (Western Visayas),PH060000000,Antique,PH060600000,san jose (capital),PH060613000,66590,67324,68027,68700,69343,69954
Region VI (Western Visayas),PH060000000,Antique,PH060600000,san remigio,PH060614000,33059,33234,33389,33527,33646,33746
Region VI (Western Visayas),PH060000000,Antique,PH060600000,sebaste,PH060615000,18443,18521,18589,18646,18693,18729
Region VI (Western Visayas),PH060000000,Antique,PH060600000,sibalom,PH060616000,63925,64571,65185,65769,66323,66845
Region VI (Western Visayas),PH060000000,Antique,PH060600000,tibiao,PH060617000,28733,29101,29457,29802,30135,30455
Region VI (Western Visayas),PH060000000,Antique,PH060600000,valderrama,PH060618000,19690,19772,19842,19902,19951,19988
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,cuartero,PH061901000,29379,29800,30228,30662,31105,31553
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,dao,PH061902000,33063,33182,33303,33425,33549,33674
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,dumalag,PH061903000,29632,29669,29707,29745,29785,29825
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,dumarao,PH061904000,48300,48753,49211,49674,50145,50620
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,ivisan,PH061905000,31387,31888,32396,32914,33442,33977
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,jamindan,PH061906000,38329,38677,39030,39387,39749,40115
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,ma-ayon,PH061907000,40385,40801,41223,41650,42084,42522
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,mambusao,PH061908000,41595,42008,42426,42848,43278,43711
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,panay,PH061909000,48771,49334,49906,50485,51074,51668
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,panitan,PH061910000,42679,43187,43701,44223,44753,45290
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,pilar,PH061911000,49080,49894,50723,51567,52428,53302
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,pontevedra,PH061912000,49335,49953,50580,51216,51863,52518
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,president roxas,PH061913000,30768,30998,31230,31465,31703,31944
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,roxas city (capital),PH061914000,177847,180155,182497,184873,187293,189739
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,sapi-an,PH061915000,26844,27059,27277,27497,27721,27946
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,sigma,PH061916000,31106,31310,31517,31726,31938,32151
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,tapaz,PH061917000,54583,55279,55984,56700,57429,58166
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,ajuy,PH063001000,56710,57605,58464,59288,60078,60831
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,alimodian,PH063002000,39458,39641,39791,39907,39990,40040
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,anilao,PH063003000,29468,29605,29717,29804,29865,29902
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,badiangan,PH063004000,27743,27872,27978,28059,28118,28152
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,balasan,PH063005000,36111,36724,37315,37886,38437,38965
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,banate,PH063006000,35145,35669,36169,36647,37103,37534
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,barotac nuevo,PH063007000,55644,55906,56120,56288,56409,56482
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,barotac viejo,PH063008000,49632,50401,51138,51844,52521,53163
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,batad,PH063009000,22960,23292,23609,23910,24197,24468
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,bingawan,PH063010000,16844,17183,17514,17837,18154,18461
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,cabatuan,PH063012000,61114,61618,62073,62479,62836,63144
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,calinog,PH063013000,65751,66830,67870,68870,69832,70752
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,carles,PH063014000,72763,73669,74523,75325,76077,76774
