Region,Region_pcode,Province,Province_pcode,City,Mun_Pcode,July2020,July2021,July2022,July2023,July2024,July2025
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,santo domingo,PH012928000,28553,28632,28697,28749,28788,28813
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,sigay,PH012929000,3037,3097,3157,3217,3276,3336
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,sinait,PH012930000,26170,26242,26302,26350,26385,26408
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,sugpon,PH012931000,5376,5545,5716,5890,6068,6247
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,suyo,PH012932000,12132,12259,12381,12499,12613,12722
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,tagudin,PH012933000,40359,40525,40672,40801,40912,41004
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,city of vigan (capital),PH012934000,57382,58036,58671,59287,59884,60461
Region I (Ilocos Region),PH010000000,La Union,PH013300000,agoo,PH013301000,66406,66841,67238,67595,67914,68193
Region I (Ilocos Region),PH010000000,La Union,PH013300000,aringay,PH013302000,49688,50057,50396,50707,50991,51244
Region I (Ilocos Region),PH010000000,La Union,PH013300000,bacnotan,PH013303000,43591,43820,44023,44200,44351,44474
Region I (Ilocos Region),PH010000000,La Union,PH013300000,bagulin,PH013304000,14250,14389,14520,14644,14760,14868
Region I (Ilocos Region),PH010000000,La Union,PH013300000,balaoan,PH013305000,40225,40361,40473,40559,40621,40657
Region I (Ilocos Region),PH010000000,La Union,PH013300000,bangar,PH013306000,37151,37328,37483,37615,37725,37812
Region I (Ilocos Region),PH010000000,La Union,PH013300000,bauang,PH013307000,78902,79556,80167,80733,81256,81734
Region I (Ilocos Region),PH010000000,La Union,PH013300000,burgos,PH013308000,8272,8298,8320,8336,8347,8352
Region I (Ilocos Region),PH010000000,La Union,PH013300000,caba,PH013309000,22698,22790,22869,22933,22984,23020
Region I (Ilocos Region),PH010000000,La Union,PH013300000,luna,PH013310000,36648,36752,36833,36891,36926,36938
